"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"70","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.193877551020408,30655293.7252115,203755100.377965,661890980.564103,0.0642498146425817,39778673.954885
"71","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.204081632653061,29873577.2288184,191978474.054904,661890980.564103,0.0642498146425817,39778673.954885
"72","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.214285714285714,29111255.4873207,181381454.873895,661890980.564103,0.0642498146425817,39778673.954885
"73","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.224489795918367,28366895.7864712,171792085.218273,661890980.564103,0.0642498146425817,39778673.954885
"74","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.23469387755102,27641847.9583116,163084671.879808,661890980.564103,0.0642498146425817,39778673.954885
"75","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.244897959183673,26936312.4667046,155148905.714452,661890980.564103,0.0642498146425817,39778673.954885
"76","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.255102040816327,26249964.242699,147889719.60246,661890980.564103,0.0642498146425817,39778673.954885
"77","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.26530612244898,25582883.1703057,141229211.461081,661890980.564103,0.0642498146425817,39778673.954885
"78","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.275510204081633,24934873.9346125,135099963.699829,661890980.564103,0.0642498146425817,39778673.954885
"79","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.285714285714286,24305681.1112221,129444166.784534,661890980.564103,0.0642498146425817,39778673.954885
"80","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.295918367346939,23694925.1653122,124211581.233453,661890980.564103,0.0642498146425817,39778673.954885
"81","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.306122448979592,23102245.7430296,119358939.122109,661890980.564103,0.0642498146425817,39778673.954885
"82","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.316326530612245,22527221.8505594,114848405.178262,661890980.564103,0.0642498146425817,39778673.954885
"83","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.326530612244898,21969083.4545308,110645230.823591,661890980.564103,0.0642498146425817,39778673.954885
"84","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.336734693877551,21428070.6850651,106723872.101911,661890980.564103,0.0642498146425817,39778673.954885
"85","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.346938775510204,20903362.3846983,103056887.328571,661890980.564103,0.0642498146425817,39778673.954885
"86","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.357142857142857,20394487.8812684,99621598.8577662,661890980.564103,0.0642498146425817,39778673.954885
"87","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.36734693877551,19901086.5988905,96398413.024444,661890980.564103,0.0642498146425817,39778673.954885
"88","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.377551020408163,19422425.5770738,93368123.7021279,661890980.564103,0.0642498146425817,39778673.954885
"89","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.387755102040816,18958198.2359145,90515491.1375205,661890980.564103,0.0642498146425817,39778673.954885
"90","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.397959183673469,18508042.8173426,87826631.2778653,661890980.564103,0.0642498146425817,39778673.954885
"91","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.408163265306122,18071432.6242555,85288295.4956738,661890980.564103,0.0642498146425817,39778673.954885
"92","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.418367346938775,17647559.1518937,82887160.2305789,661890980.564103,0.0642498146425817,39778673.954885
"93","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.428571428571429,17236532.019612,80615307.9898109,661890980.564103,0.0642498146425817,39778673.954885
"94","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.438775510204082,16837740.7321368,78462370.5470554,661890980.564103,0.0642498146425817,39778673.954885
"95","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.448979591836735,16450771.1201087,76419737.277165,661890980.564103,0.0642498146425817,39778673.954885
"96","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.459183673469388,16075220.9456566,74479584.2115995,661890980.564103,0.0642498146425817,39778673.954885
"97","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.469387755102041,15710705.3687537,72634812.1470798,661890980.564103,0.0642498146425817,39778673.954885
